Pergunta,Resposta
A biodiversidade refere-se apenas à variedade de espécies em um ecossistema.,F
Os oceanos são os maiores sumidouros de carbono do planeta.,V
A energia nuclear é uma fonte de energia renovável.,F
A poluição do ar não tem impacto significativo no aquecimento global.,F
O uso de plásticos biodegradáveis resolve completamente o problema da poluição plástica.,F
A reciclagem é a solução definitiva para o problema dos resíduos sólidos.,F
O aumento do nível do mar é causado principalmente pela expansão térmica da água.,V
A urbanização não tem impacto na biodiversidade.,F
A agricultura orgânica utiliza apenas métodos naturais de controle de pragas.,V
Os manguezais são ecossistemas terrestres encontrados em áreas montanhosas.,F
A eutrofização é um fenômeno causado pelo aumento dos nutrientes na água.,V
A energia geotérmica é uma forma de energia renovável.,V
A captação da água da chuva contribui para a conservação dos recursos hídricos.,V
A biodiversidade é importante apenas para os ecossistemas terrestres.,F
A redução do consumo de carne pode ajudar a mitigar as mudanças climáticas.,V
Os solos são importantes sumidouros de carbono.,V
A polinização por abelhas não é importante para a agricultura.,F
As energias renováveis são sempre mais caras do que as não renováveis.,F
A destruição de habitats é uma das principais causas da perda de biodiversidade.,V
"Em muitas cidades continua nevando no inverno, logo, não existe aquecimento global",F
O desmatamento contribui para a diminuição das emissões de carbono na atmosfera.,F
Os plásticos biodegradáveis se degradam rapidamente no meio ambiente marinho.,F
A reciclagem de papel ajuda a reduzir o consumo de árvores.,V
A demarcação de territórios indígenas é uma estratégia eficaz para a conservação da biodiversidade.,V
Os sumidouros de carbono são reservatórios que armazenam carbono a longo prazo.,V
O aumento da temperatura global não tem relação com eventos climáticos extremos.,F
A acidificação dos oceanos não afeta os corais.,F
Os ecossistemas terrestres armazenam mais carbono do que os oceanos.,V
As espécies de outros biomas nunca causam impactos negativos nos ecossistemas nativos.,F
A poluição do solo não afeta a qualidade da água subterrânea.,F
Os impactos das mudanças climáticas são uniformemente distribuídos pelo mundo.,F
A destruição de manguezais não tem impacto na proteção das comunidades costeiras.,F
O desperdício de alimentos não contribui para a insegurança alimentar.,F
O aumento da temperatura média global é um dos principais indicadores do aquecimento global.,V
Os ecossistemas de água doce não são afetados pelas mudanças climáticas.,F
As plantações de monocultura contribuem para a biodiversidade.,F
A energia hidrelétrica não gera emissões de gases de efeito estufa.,F
A poluição do ar não afeta a saúde humana.,F
A substituição de combustíveis fósseis por energias renováveis é economicamente inviável.,F
As abelhas não desempenham um papel importante na polinização das plantas.,F
O aumento do dióxido de carbono na atmosfera contribui para o aumento da acidez dos oceanos.,V
O desmatamento não contribui para a perda de biodiversidade.,F
As energias renováveis não são capazes de fornecer uma quantidade suficiente de energia.,F
Territórios indígenas não são sustentáveis.,F
A luta pelos seus territórios indígenas nada está relacionado à sustentabilidade.,F
Os povos indígenas são totalmente relevantes em reuniões sobre o clima global.,V
"Txai Suruí e Samela Satere Mawe têm um grande papel no ativismo tanto indígena, quanto ambiental.",V
Ativismo ambiental e ativismo indígena não têm nenhuma relação.,F
São exemplos de autores relevantes para combater o aquecimento global: Ailton Krenak e Davi Kopenawa.,V
O modo de vida sustentável foi inventado no século 21.,F
"O norte e o sul global têm a mesma responsabilidade e sofrem com as mesmas consequências do aquecimento global, já que são duas metades de um mesmo planeta.",F
"Se não fosse só pelo pum das vacas, comer muita carne seria sustentável.",F
"Para criar gado em massa, é necessário desmatar para abrir espaço para o pasto, por isso diminuir o consumo de carne ajuda a combater o aquecimento global.",V
